"cl-rfile"
"Iteration" "cl"
("Iteration" "cl")
1 -0.06057861456940794
2 -0.09994547577272393
3 -0.1270508704496755
4 -0.1471976528811634
5 -0.162488358020615
6 -0.1741833757860263
7 -0.1830721857980987
8 -0.1898763901180029
9 -0.1951545435507644
10 -0.1982872771852792
11 -0.199208661990183
12 -0.1992308719819583
13 -0.1991379023577146
14 -0.1992223523357369
15 -0.1993963074223476
16 -0.1998728201341599
17 -0.2001948727474444
18 -0.2003090787684089
19 -0.2003318583618047
20 -0.2001967279664639
21 -0.1998924297693831
22 -0.1995395128189526
23 -0.1991541667484406
24 -0.1987884855944457
25 -0.1984463019781894
26 -0.1981550093193434
27 -0.197870267826687
28 -0.197626102589234
29 -0.1974281258382421
30 -0.1972855773932234
31 -0.1971733155600673
32 -0.1971112864391281
33 -0.197067621901125
34 -0.1970493727888286
35 -0.1970414594761015
36 -0.1970408036623361
37 -0.1970408166739515
38 -0.1970525916301059
39 -0.197061528501273
40 -0.1970683217476784
41 -0.1970679097474044
42 -0.197068838980844
43 -0.1970670522277736
44 -0.197064899154264
45 -0.1970629703573496
46 -0.1970613732732021
47 -0.197059839393155
48 -0.1970575406223999
49 -0.1970562689725532
50 -0.1970549971247326
51 -0.1970541274098067
52 -0.1970540893193996
53 -0.1970538926249432
54 -0.19705348258669
55 -0.1970525099287369
56 -0.1970520982669001
57 -0.1970511882688952
58 -0.1970517217522205
59 -0.1970516349050566
60 -0.197052808812963
61 -0.1970529275160575
62 -0.1970528726924289
63 -0.1970522669837581
64 -0.1970514056985782
65 -0.1970500483708937
66 -0.197049353629929
67 -0.1970484315141087
68 -0.197048373434636
69 -0.1970470710529679
70 -0.1970477943399378
71 -0.1970484988842854
72 -0.1970487518497689
73 -0.1970486150617499
74 -0.1970485475747033
75 -0.1970485002347173
76 -0.1970488313814089
77 -0.1970493598448239
78 -0.1970499693279408
79 -0.1970506536497618
80 -0.1970517497172927
81 -0.1970526157544905
82 -0.1970533699174842
83 -0.197053347740045
84 -0.1970534576340831
85 -0.1970540264862264
86 -0.1970546738124823
87 -0.1970549133407586
88 -0.1970553464990535
89 -0.1970554336747528
90 -0.1970555576365507
91 -0.1970554253347692
92 -0.1970547857889902
93 -0.1970534058259355
94 -0.1970527596396717
95 -0.1970517152464545
96 -0.1970498494938556
97 -0.1970483457110982
98 -0.1970474501540276
99 -0.1970468625066544
100 -0.1970464819767124
